"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 01 16:41:02 GMT 2023","Mon May 01 16:41:13 GMT 2023","10664","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","urlValidation","TC01 - Test URL validation","Verify that the current URL matches the expected URL"
"failed","Mon May 01 16:41:15 GMT 2023","Mon May 01 16:41:16 GMT 2023","1119","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testRegistrationWithInvalidData","TC03 - Test registration with invalid data","Verify that registration with invalid data fails"
"broken","Mon May 01 16:42:27 GMT 2023","Mon May 01 16:42:58 GMT 2023","31453","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","deleteAccountTest","TC10 - Test delete an exist account","This test case verifies if a user can successfully delete their account and the account is no longer accessible afterwards."
"broken","Mon May 01 16:41:24 GMT 2023","Mon May 01 16:41:55 GMT 2023","31506","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","editProfileTest","TC08 - Test edit a user's profile","Verify the ability to edit profile information"
"failed","Mon May 01 16:41:16 GMT 2023","Mon May 01 16:41:17 GMT 2023","1673","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginAfterRegistration","TC04 - Test login after successful registration","Verify that a user can log in after successfully registering"
"passed","Mon May 01 16:42:58 GMT 2023","Mon May 01 16:42:59 GMT 2023","1064","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","contactFormTestValid","TC11 - Contact Form test with valid Data",""
"passed","Mon May 01 16:43:03 GMT 2023","Mon May 01 16:43:04 GMT 2023","1124","","com.codecool.vizsgaremek.pages.AboutPageTest","","com.codecool.vizsgaremek.pages.AboutPageTest","memberTest","TC07 - Test team members information","Verify that team members on the About page are displayed correctly."
"passed","Mon May 01 16:41:18 GMT 2023","Mon May 01 16:41:19 GMT 2023","746","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginFromLandingPageWithInvalidDate","TC06 - Test login from landing page with invalid data","Verify that login fails with invalid credentials from the landing page"
"passed","Mon May 01 16:41:19 GMT 2023","Mon May 01 16:41:21 GMT 2023","2164","","com.codecool.vizsgaremek.pages.PortfolioPageTest","","com.codecool.vizsgaremek.pages.PortfolioPageTest","fileTest","TC14 - Test project titles","Verify that project titles on the page are displayed correctly"
"passed","Mon May 01 16:41:13 GMT 2023","Mon May 01 16:41:15 GMT 2023","1505","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testRegistrationWithValidData","TC02 - Registration with valid data","Verify that a user can register successfully with valid data"
"failed","Mon May 01 16:41:17 GMT 2023","Mon May 01 16:41:18 GMT 2023","986","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginFromLandingPage","TC05 - Test login from landing page","Verify that a user can log in from the landing page"
"passed","Mon May 01 16:42:59 GMT 2023","Mon May 01 16:43:03 GMT 2023","3596","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","multiplyContactFormTest","TC12 - Test multiply contact form sending",""
"failed","Mon May 01 16:43:03 GMT 2023","Mon May 01 16:43:03 GMT 2023","615","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","contactFormTestInvalid","TC13 - Test for contact form with empty fields",""
"broken","Mon May 01 16:41:55 GMT 2023","Mon May 01 16:42:27 GMT 2023","31362","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","logoutTest","TC09 - Test for logging out","Verify that logging out and redirecting to the landing page"
"passed","Mon May 01 16:41:21 GMT 2023","Mon May 01 16:41:24 GMT 2023","2271","","com.codecool.vizsgaremek.pages.BlogPageTest","","com.codecool.vizsgaremek.pages.BlogPageTest","blogTitleTest","TC15 - Test for all blogposts title","Verify that all blogposts title on the page are displayed on the page"
